piece,x,y
0.0,115.9195576,1154.913753
0.0,539.3785152,1397.821322
0.0,2066.283764,935.972691
0.0,1353.47215,60.31650952
1.0,115.9195576,1154.913753
1.0,192.1773049,2125.593712
1.0,539.3785152,1397.821322
2.0,192.1773049,2125.593712
2.0,580.956247,1552.762256
2.0,539.3785152,1397.821322
3.0,192.1773049,2125.593712
3.0,1331.814823,1648.020348
3.0,580.956247,1552.762256
4.0,192.1773049,2125.593712
4.0,2356.146092,1626.177798
4.0,1331.814823,1648.020348
5.0,539.3785152,1397.821322
5.0,580.956247,1552.762256
5.0,1331.814823,1648.020348
5.0,2066.283764,935.972691
6.0,1331.814823,1648.020348
6.0,2356.146092,1626.177798
6.0,2066.283764,935.972691
7.0,1353.47215,60.31650952
7.0,2057.584409,671.4476045
7.0,2415.69788,100.2425566
8.0,1353.47215,60.31650952
8.0,2066.283764,935.972691
8.0,2057.584409,671.4476045
9.0,2057.584409,671.4476045
9.0,2066.283764,935.972691
9.0,2356.146092,1626.177798
9.0,2415.69788,100.2425566
